Title,City,State,Minimum,Maximum,Apply By
Computer Engineer (Cybersecurity) (DHA) - 730393900,Washington,District of Columbia,94199,145617,7/5/2023
Computer Engineer (Cybersecurity) (DHA) - 731457400,Washington,District of Columbia,132368,172075,7/5/2023
IT Cybersecurity Specialist - 731733300,Washington,District of Columbia,112015,172075,7/5/2023
Supervisory Investigation/Compliance Specialist (Direct Hire) - 732089300,Washington,District of Columbia,155700,183500,7/5/2023
Director of Enterprise Cybersecurity Policy & Strategy - 730826100,Washington,District of Columbia,179400,195500,7/9/2023
Computer Scientist (Cybersecurity) - 733620300,Washington,District of Columbia,132368,172075,7/10/2023
Supervisory Chemical Security Inspector - 734480800,Washington,District of Columbia,99908,129878,7/11/2023
SUPVY IT CYBERSECURITY SPECIALIST - 732431800,Washington,District of Columbia,155700,183500,7/11/2023
Information Technology CyberSecurity Specialist - 734022100,Washington,District of Columbia,94199,122459,7/12/2023
Cybersecurity Architecture - Technical - 733649800,Washington,District of Columbia,115400,196000,7/26/2023
Vulnerability Assessment - Technical - 733644700,Washington,District of Columbia,115400,196000,7/26/2023
Diplomatic Security: Foreign Service Security Engineering Officer - 725765600,District of Columbia,District of Columbia,80916,88119,8/15/2023
IT Specialist - 699013100,Washington,District of Columbia,117518,152771,9/29/2023
IT Specialist - 700142800,Fort McNair,District of Columbia,99908,129878,9/29/2023
IT Specialist - 715450800,Fort McNair,District of Columbia,59319,92429,9/29/2023
IT Specialist - 700142800,Washington,District of Columbia,99908,129878,9/29/2023
IT Specialist - 715450800,Washington,District of Columbia,59319,92429,9/29/2023
IT Specialist - 699013100,Fort McNair,District of Columbia,117518,152771,9/29/2023
IT Specialist - 715175600,Washington,District of Columbia,59319,92429,9/29/2023
Supervisory IT Program Manager - 700426200,Fort McNair,District of Columbia,117518,152771,9/29/2023
Supervisory IT Program Manager - 700426200,Washington,District of Columbia,117518,152771,9/29/2023
Attorney (Tech and Cyber) - 721957600,Washington,District of Columbia,78592,183500,9/30/2023
ATTORNEY-ADVISOR (ADMINISTRATIVE LAW) - 717106400,Washington,District of Columbia,116393,183500,9/30/2023
ATTORNEY-ADVISOR (ADMINISTRATIVE LAW) - 717106400,Washington,District of Columbia,116393,183500,9/30/2023
Foreign Service Information Management Specialist - 681046200,District of Columbia,District of Columbia,61635,121648,10/2/2023
IT Specialist (INFOSEC-Cybersecurity) - DIRECT HIRE - P - 688831600,Washington,District of Columbia,74950,138868,11/10/2023
