Job Title,Location,Salary,Job requirements,Focus,Days open,Title1,Company,Location1,Salary2
"Operational Technology / Cybersecurity Policy Journeyman (Oil, Gas, Energy)","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect",security,6d,"Operational Technology / Cybersecurity Policy Journeyman (Oil, Gas, Energy)",RSDC,"Washington, DC",
Hardware Reverse Engineer (TS Clearance),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Hardware Reverse Engineer (TS Clearance),Allied Associates International4.7 ★,"Quantico, VA",$47K - $77K (Glassdoor est.)
Cleared Cyber Security Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cleared Cyber Security Engineer,NextQuest Solutions,"Herndon, VA",$170K - $200K (Employer est.)
Firewall Engineer - Senior,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Firewall Engineer - Senior,Antietam Technologies Inc..,"Washington, DC",$130K - $145K (Employer est.)
"Information Security Engineer, Senior","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,"Information Security Engineer, Senior",GuROO5.0 ★,"Warrenton, VA",$180K (Employer est.)
Cyber Security Engineer (-),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cyber Security Engineer (-),DCI Solutions3.7 ★,"Dulles, VA",$80K - $130K (Employer est.)
Security Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Security Engineer,B&A4.1 ★,"Ashburn, VA",$82K - $128K (Glassdoor est.)
Information Security Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Information Security Engineer,IAM National Pension Fund1.8 ★,"Washington, DC",$94K - $132K (Glassdoor est.)
Senior Endpoint Security Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Senior Endpoint Security Engineer,Zurka Interactive4.0 ★,"Washington, DC",$120K - $160K (Employer est.)
Senior Cybersecurity Consultant,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Senior Cybersecurity Consultant,"stackArmor, Inc3.7 ★","McLean, VA",$130K - $140K (Employer est.)
