Title,Company_name,Company,Salary,Salary1,Schedule,jobsnippet,date,Place
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",,Estimated $135K - $171K a year,Full-time,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
Information Security Analyst,Network Coverage,Remote,,"$55,000 - $80,000 a year",Full-time,"Maintain up-to-date detailed knowledge of the IT security industry including awareness of new or revised security solutions, improved security processes, and…","Employer
Active 4 days ago",Easy to request PTO
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,Full-time,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",Full-time,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",Full-time,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Cyber Security Engineer-must have Splunk & Phantom,Donnelly & Moore Corporation,"Hybrid remote in New York, NY 10003",,$75 - $80 an hour,Full-time,"3-5 years Strong understanding of cyber security principles.
 Knowledge of security tools, python, scripting is preferred.
 2 years Threat Management, preferred.","Posted
Posted 5 days ago",
Incident Response Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",Full-time,"Experience in computer security incident handling.
 At least 1-3 years of experience handling security related incidents.","Posted
Posted 30+ days ago",
Information Security Analyst,PayPal,Remote in Arizona,,Estimated $90.3K - $114K a year,Full-time,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
"Cyber Threat Specialist, Associate",PG&E Corporation,"Concord, CA 94518",,$38.46 - $57.69 an hour,Full-time,"Responsible for the delivery of information security services including intelligence research, threat assessment, security event monitoring/analysis,…","Posted
Posted 2 days ago",
Security Systems Analyst | REMOTE,Dignari,Remote,,Estimated $84.5K - $107K a year,Full-time,"Involved in training other staff on security awareness and best practices, to reduce the likelihood of human error leading to a security breach.","Posted
Posted 30+ days ago",
