Incident_case_id,Date,Offense,Street_Number,Street_Address,Zip Codes,Precinent
PP21010200001586,1/2/2021,"ROBBERY, VEHICLE",,WHEELER RD / SOUTHERN AVE,26015,
PP21010200000399,1/2/2021,THEFT FROM AUTO,900 BLOCK,916 RAY RD,10889,
PP21010200001080,1/2/2021,ACCIDENT WITH IMPOUND,,HARRY S TRUMAN DR SB / SACRAMENTO ST,08340,
PP21010200000424,1/2/2021,"ROBBERY, OTHER",22800 BLOCK,22818 AQUASCO RD,20608,
PP21010200001099,1/2/2021,"ASSAULT, SHOOTING",4400 BLOCK,4423 ARNOLD RD,15577,
PP21010200001723,1/2/2021,ACCIDENT WITH IMPOUND,,OLD ALEXANDRIA FERRY RD EB / MALCOLM RD,15298,
PP21010200000598,1/2/2021,THEFT FROM AUTO,2000 BLOCK,2020 BROOKS DR,15814,
PP21010200000973,1/2/2021,THEFT,1900 BLOCK,1900 QUEENS CHAPEL RD,25429,
PP21010200000886,1/2/2021,"ROBBERY, OTHER",13900 BLOCK,13928 KING GEORGE WAY,17002,
PP21010200000379,1/2/2021,THEFT FROM AUTO,9000 BLOCK,9044 CONTINENTAL PL,31451,
PP21010200000611,1/2/2021,THEFT,8800 BLOCK,8859 BRANCH AVE,15298,
PP21010200000054,1/2/2021,ACCIDENT WITH IMPOUND,,SAINT BARNABAS RD SB / DEER PARK DR,15817,
PP21010200002064,1/2/2021,THEFT FROM AUTO,9700 BLOCK,9780 MUIRKIRK RD,15999,
PP21010200000677,1/2/2021,"ROBBERY, VEHICLE",2100 BLOCK,2108 ACCOKEEK RD,08834,
PP21010200001679,1/2/2021,"AUTO, STOLEN",,EVANS TRAIL WAY / EVANS TRL,15750,
PP21010200000776,1/2/2021,THEFT FROM AUTO,8900 BLOCK,8916 SNOW ACRES DR,15999,
PP21010200000741,1/2/2021,THEFT,4800 BLOCK,4803 NORWICH RD,15305,
PP21010200001315,1/2/2021,THEFT FROM AUTO,11400 BLOCK,11411 LAKE ARBOR WAY,17158,
PP21010200000857,1/2/2021,THEFT FROM AUTO,1100 BLOCK,1113 CENTENNIAL DR,15572,
PP21010200000403,1/2/2021,THEFT FROM AUTO,9500 BLOCK,9590 CRAIN HWY SE,17002,
PP21010200001169,1/2/2021,THEFT FROM AUTO,6800 BLOCK,6803 HAWTHORNE ST,31451,
PP21010200000766,1/2/2021,THEFT,16700 BLOCK,16700 GOVERNORS BRIDGE RD,16438,
PP21010200000992,1/2/2021,THEFT FROM AUTO,9300 BLOCK,9308 CHERRY HILL RD,15305,
PP21010200001229,1/2/2021,"ROBBERY, VEHICLE",,18800  BLK HORSEHEAD RD,09221,
PP21010200002053,1/2/2021,ACCIDENT WITH IMPOUND,,LANHAM SEVERN RD EB / ANNAPOLIS RD EB,15994,
PP21010200001027,1/2/2021,"AUTO, STOLEN",100 BLOCK,122 FOX CHASE CT,08340,
PP21010200001952,1/2/2021,ACCIDENT WITH IMPOUND,2200 BLOCK,2232 UNIVERSITY BLVD WB,10889,
PP21010200001575,1/2/2021,ACCIDENT WITH IMPOUND,,LAUREL BOWIE RD SB / BALTIMORE WASHINGTON PKWY NB,15999,
PP21010200000862,1/2/2021,THEFT,5600 BLOCK,5621 SARGENT RD NB,8789,
PP21010200000704,1/2/2021,THEFT FROM AUTO,600 BLOCK,632 AUDREY LN,15574,
PP21010200000375,1/2/2021,"ROBBERY, VEHICLE",,FAIRLAWN ST / 29TH PL,15817,
PP21010200001582,1/2/2021,ACCIDENT WITH IMPOUND,,BROWN STATION RD / JOHN ROGERS BLVD NB,17002,
PP21010200001825,1/2/2021,"ASSAULT, SHOOTING",900 BLOCK,957 SAINT MICHAELS DR,17158,
PP21010200001409,1/2/2021,ASSAULT,5100 BLOCK,5151 ALLENTOWN RD SB,15577,
PP21010200000394,1/2/2021,THEFT FROM AUTO,3300 BLOCK,3318 BROOKSHIRE CT,17002,
PP21010200000921,1/2/2021,THEFT,3400 BLOCK,3417 BRANCH AVE SB,15817,
PP21010200000581,1/2/2021,"ASSAULT, SHOOTING",8700 BLOCK,8700 BALTIMORE AVE,15305,
PP21010200000914,1/2/2021,ACCIDENT WITH IMPOUND,,OLD BRANCH AVE / FARMVIEW CT,15298,
PP21010200000449,1/2/2021,THEFT FROM AUTO,1000 BLOCK,1009 BOOKER DR,15568,
PP21010200000378,1/2/2021,ACCIDENT WITH IMPOUND,4600 BLOCK,4602 RUSSELL AVE,16003,
PP21010200001443,1/2/2021,THEFT,20 BLOCK,20 AUDREY LN,15574,
PP21010200002118,1/2/2021,ACCIDENT WITH IMPOUND,8100 BLOCK,8101 ALLENDALE DR,31451,
