DATE,Category,Crime,City,State,Zip.Code,Agency,Place,add_num,street,street2,street_type
2021,Crime Against Person,Aggravated Assault,SILVER SPRING,MD,20901,MCPD,Street - In vehicle,200,UNIVERSITY,E,BLV
2021,Crime Against Person,Aggravated Assault,GAITHERSBURG,MD,20877,GPD,Residence - Other,1,FREDERICK,,AVE
2021,Crime Against Person,Aggravated Assault,SILVER SPRING,MD,20901,MCPD,Street - Other,NA,PINEY BRANCH,,RD
2021,Crime Against Person,Aggravated Assault,ROCKVILLE,MD,20850,RCPD,Residence - Single Family,300,GAME CREEK,,DR
2021,Crime Against Person,Aggravated Assault,MONTGOMERY VILLAGE,MD,20886,MCPD,Residence - Apartment/Condo,18300,LOST KNIFE,,CIR
2021,Crime Against Person,Aggravated Assault,MONTGOMERY VILLAGE,MD,20886,MCPD,Residence - Other,18200,LOST KNIFE,,CIR
2021,Crime Against Person,Aggravated Assault,POTOMAC,MD,20854,RCPD,Residence - Single Family,1000,WILLOWLEAF,,WAY
2021,Crime Against Person,Aggravated Assault,SILVER SPRING,MD,20910,MCPD,Convenience Store,1100,FIDLER,,LA
2021,Crime Against Person,Aggravated Assault,GAITHERSBURG,MD,20850,RCPD,Hotel/Motel/Etc.,16000,SHADY GROVE,,RD
2021,Crime Against Person,Aggravated Assault,ROCKVILLE,MD,20853,MCPD,Parking Lot - Commercial,4600,ASPEN HILL,,RD
2021,Crime Against Person,Aggravated Assault,MONTGOMERY VILLAGE,MD,20886,MCPD,Street - In vehicle,NA,MONTGOMERY VILLAGE,,AVE
2021,Crime Against Person,Aggravated Assault,TAKOMA PARK,MD,20912,MCPD,Residence - Apartment/Condo,8300,GARLAND,,AVE
2021,Crime Against Person,Aggravated Assault,SILVER SPRING,MD,20902,MCPD,Parking Lot - Residential,1100,UNIVERSITY,W,BLV
2021,Crime Against Person,Aggravated Assault,SILVER SPRING,MD,20861,MCPD,Residence - Single Family,900,CLIFTONBROOK,,LA
2021,Crime Against Person,Aggravated Assault,SILVER SPRING,MD,20902,MCPD,Street - Residential,NA,GEORGIA,,AVE
